labeling 17 scenes (shard 2/8)
  00009-vLpv2VX547B: n=214 labeled | cats present=6/6 | median d=9.5m | spread(std within scene)=5.54
  00033-oPj9qMxrDEa: n=179 labeled | cats present=6/6 | median d=2.6m | spread(std within scene)=4.42
  00064-gQgtJ9Stk5s: n=122 labeled | cats present=6/6 | median d=1.3m | spread(std within scene)=3.14
  00135-HeSYRw7eMtG: n=225 labeled | cats present=6/6 | median d=11.6m | spread(std within scene)=4.30
  00168-bHKTDQFJxTw: n=248 labeled | cats present=4/6 | median d=15.2m | spread(std within scene)=5.13
  00207-FRQ75PjD278: n=145 labeled | cats present=5/6 | median d=2.5m | spread(std within scene)=1.84
  00250-U3oQjwTuMX8: n=264 labeled | cats present=6/6 | median d=7.4m | spread(std within scene)=4.56
  00263-GGBvSFddQgs: n=219 labeled | cats present=6/6 | median d=2.8m | spread(std within scene)=1.43
  00313-PE6kVEtrxtj: n=157 labeled | cats present=6/6 | median d=3.6m | spread(std within scene)=1.65
  00382-S7uMvxjBVZq: n=184 labeled | cats present=6/6 | median d=7.9m | spread(std within scene)=3.49
  00410-v7DzfFFEpsD: n=205 labeled | cats present=6/6 | median d=10.6m | spread(std within scene)=4.63
  00466-xAHnY3QzFUN: n=138 labeled | cats present=6/6 | median d=2.1m | spread(std within scene)=1.26
  00529-W9YAR9qcuvN: n=140 labeled | cats present=6/6 | median d=8.8m | spread(std within scene)=4.15
  00557-fRZhp6vWGw7: n=248 labeled | cats present=6/6 | median d=1.2m | spread(std within scene)=0.19
  00598-mt9H8KcxRKD: n=366 labeled | cats present=4/6 | median d=10.4m | spread(std within scene)=2.34
  00664-u5atqC7vRCY: n=270 labeled | cats present=6/6 | median d=5.4m | spread(std within scene)=4.26
  00720-8B43pG641ff: n=291 labeled | cats present=6/6 | median d=6.0m | spread(std within scene)=2.60
