labeling 17 scenes (shard 5/8)
  00020-XYyR54sxe6b: n=177 labeled | cats present=6/6 | median d=8.2m | spread(std within scene)=2.87
  00043-Jfyvj3xn2aJ: n=199 labeled | cats present=6/6 | median d=9.5m | spread(std within scene)=2.92
  00096-6HRFAUDqpTb: n=151 labeled | cats present=6/6 | median d=2.0m | spread(std within scene)=1.14
  00149-UuwwmrTsfBN: n=278 labeled | cats present=6/6 | median d=13.5m | spread(std within scene)=5.52
  00177-VSxVP19Cdyw: n=157 labeled | cats present=5/6 | median d=9.0m | spread(std within scene)=4.27
  00222-g8Xrdbe9fir: n=112 labeled | cats present=4/6 | median d=2.9m | spread(std within scene)=1.67
  00255-NGyoyh91xXJ: n=158 labeled | cats present=6/6 | median d=4.1m | spread(std within scene)=3.15
  00272-kA2nG18hCAr: n=280 labeled | cats present=6/6 | median d=17.3m | spread(std within scene)=5.89
  00326-u9rPN5cHWBg: n=213 labeled | cats present=6/6 | median d=3.5m | spread(std within scene)=5.89
  00388-pcpn6mFqFCg: n=161 labeled | cats present=6/6 | median d=9.4m | spread(std within scene)=3.08
  00422-8wJuSPJ9FXG: n=196 labeled | cats present=6/6 | median d=4.7m | spread(std within scene)=6.66
  00487-erXNfWVjqZ8: n=184 labeled | cats present=6/6 | median d=7.3m | spread(std within scene)=3.62
  00538-3CBBjsNkhqW: n=312 labeled | cats present=6/6 | median d=26.4m | spread(std within scene)=7.00
  00569-YJDUB7hWg9h: n=96 labeled | cats present=5/6 | median d=6.9m | spread(std within scene)=2.76
  00619-R9fYpvCUkV7: n=213 labeled | cats present=4/6 | median d=3.4m | spread(std within scene)=2.38
  00680-YmWinf3mhb5: n=133 labeled | cats present=6/6 | median d=3.3m | spread(std within scene)=2.28
  00733-GtM3JtRvvvR: n=207 labeled | cats present=6/6 | median d=5.6m | spread(std within scene)=4.11
