labeling 17 scenes (shard 7/8)
  00023-zepmXAdrpjR: n=249 labeled | cats present=6/6 | median d=4.3m | spread(std within scene)=2.97
  00057-1UnKg1rAb8A: n=117 labeled | cats present=6/6 | median d=5.9m | spread(std within scene)=2.24
  00105-xWvSkKiWQpC: n=289 labeled | cats present=5/6 | median d=8.6m | spread(std within scene)=3.84
  00155-iLDo95ZbDJq: n=175 labeled | cats present=6/6 | median d=6.9m | spread(std within scene)=1.79
  00188-dQrLTxHvLXU: n=361 labeled | cats present=5/6 | median d=7.8m | spread(std within scene)=8.58
  00238-j6fHrce9pHR: n=190 labeled | cats present=6/6 | median d=8.4m | spread(std within scene)=2.95
  00258-2Pc8W48bu21: n=263 labeled | cats present=6/6 | median d=6.5m | spread(std within scene)=2.60
  00299-bdp1XNEdvmW: n=148 labeled | cats present=6/6 | median d=3.6m | spread(std within scene)=1.91
  00330-WhNyDTnd9g5: n=192 labeled | cats present=6/6 | median d=4.6m | spread(std within scene)=2.68
  00401-H8rQCnvBgo6: n=114 labeled | cats present=5/6 | median d=3.4m | spread(std within scene)=1.53
  00440-wPLokgvCnuk: n=140 labeled | cats present=6/6 | median d=8.7m | spread(std within scene)=3.93
  00506-QVAA6zecMHu: n=117 labeled | cats present=6/6 | median d=3.3m | spread(std within scene)=1.42
  00541-FnDDfrBZPhh: n=156 labeled | cats present=6/6 | median d=7.4m | spread(std within scene)=4.90
  00590-qgZhhx1MpTi: n=189 labeled | cats present=6/6 | median d=13.6m | spread(std within scene)=6.28
  00626-XiJhRLvpKpX: n=439 labeled | cats present=5/6 | median d=30.9m | spread(std within scene)=8.31
  00685-ENiCjXWB6aQ: n=298 labeled | cats present=6/6 | median d=1.4m | spread(std within scene)=1.18
  00738-GPyDUnjwZQy: n=153 labeled | cats present=6/6 | median d=2.5m | spread(std within scene)=2.87
