labeling 31 scenes (shard 7/8)
/home/ashed/miniconda3/envs/openfrontier/lib/python3.9/site-packages/numpy/lib/nanfunctions.py:1879: RuntimeWarning: Degrees of freedom <= 0 for slice.
  var = nanvar(a, axis=axis, dtype=dtype, out=out, ddof=ddof,
  00014-nYYcLpSzihC: n=105 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00022-gmuS7Wgsbrx: n=103 labeled | cats present=6/6 | median d=15.7m | spread(std within scene)=6.23
  00030-LPEMkRVudUm: n=80 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00038-aJg466zMSNt: n=59 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00046-UQ5EhY5wve1: n=60 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00054-6BReaxZUoMg: n=37 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00062-ACZZiU6BXLz: n=63 labeled | cats present=6/6 | median d=6.2m | spread(std within scene)=2.98
  00070-w7QyjJ3H9Bp: n=48 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00078-nJTPfwbAj4S: n=104 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00086-315QujoX279: n=41 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00094-WT4QWwXrMzs: n=86 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00102-r77mpaAYUEc: n=63 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00110-ikChNYDHtRf: n=86 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00120-eAUmfFLZDR3: n=63 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00132-sWAdxSLVPQC: n=52 labeled | cats present=0/6 | median d=nanm | spread(std within scene)=nan
  00155-iLDo95ZbDJq: n=43 labeled | cats present=6/6 | median d=8.0m | spread(std within scene)=0.00
  00188-dQrLTxHvLXU: n=162 labeled | cats present=5/6 | median d=21.1m | spread(std within scene)=8.61
  00238-j6fHrce9pHR: n=119 labeled | cats present=6/6 | median d=9.0m | spread(std within scene)=2.87
  00258-2Pc8W48bu21: n=111 labeled | cats present=6/6 | median d=3.9m | spread(std within scene)=2.18
  00299-bdp1XNEdvmW: n=50 labeled | cats present=6/6 | median d=3.3m | spread(std within scene)=2.07
  00330-WhNyDTnd9g5: n=79 labeled | cats present=6/6 | median d=4.3m | spread(std within scene)=2.78
  00401-H8rQCnvBgo6: n=40 labeled | cats present=5/6 | median d=3.7m | spread(std within scene)=1.44
  00440-wPLokgvCnuk: n=74 labeled | cats present=6/6 | median d=9.1m | spread(std within scene)=3.86
  00506-QVAA6zecMHu: n=57 labeled | cats present=6/6 | median d=3.2m | spread(std within scene)=1.29
  00541-FnDDfrBZPhh: n=78 labeled | cats present=6/6 | median d=7.4m | spread(std within scene)=4.08
  00590-qgZhhx1MpTi: n=73 labeled | cats present=6/6 | median d=13.4m | spread(std within scene)=5.64
  00626-XiJhRLvpKpX: n=147 labeled | cats present=5/6 | median d=30.9m | spread(std within scene)=7.71
  00680-YmWinf3mhb5: n=57 labeled | cats present=6/6 | median d=3.6m | spread(std within scene)=2.11
  00723-hWDDQnSDMXb: n=62 labeled | cats present=6/6 | median d=nanm | spread(std within scene)=nan
  00750-E1NrAhMoqvB: n=58 labeled | cats present=6/6 | median d=5.7m | spread(std within scene)=6.96
